detection,date,time
person,2024-05-11,23-51-39
person,2024-05-11,23-51-39
person,2024-05-11,23-51-39
person,2024-05-11,23-51-41
person,2024-05-11,23-51-41
person,2024-05-11,23-51-41
person,2024-05-11,23-51-41
person,2024-05-11,23-51-42
person,2024-05-11,23-51-42
person,2024-05-11,23-51-42
person,2024-05-11,23-51-42
person,2024-05-11,23-51-42
person,2024-05-11,23-51-42
person,2024-05-11,23-51-43
person,2024-05-11,23-51-43
person,2024-05-11,23-51-43
person,2024-05-11,23-51-43
person,2024-05-11,23-51-43
person,2024-05-11,23-51-44
person,2024-05-11,23-51-44
person,2024-05-11,23-51-44
person,2024-05-11,23-51-44
person,2024-05-11,23-51-44
person,2024-05-11,23-51-44
person,2024-05-11,23-51-45
person,2024-05-11,23-51-45
person,2024-05-11,23-51-45
person,2024-05-11,23-51-45
person,2024-05-11,23-51-45
person,2024-05-11,23-51-46
person,2024-05-11,23-51-46
person,2024-05-11,23-51-46
person,2024-05-11,23-51-46
person,2024-05-11,23-51-46
person,2024-05-11,23-51-46
person,2024-05-11,23-51-47
person,2024-05-11,23-51-47
person,2024-05-11,23-51-47
person,2024-05-11,23-51-47
person,2024-05-11,23-51-47
person,2024-05-11,23-51-48
person,2024-05-11,23-51-48
person,2024-05-11,23-51-48
person,2024-05-11,23-51-48
person,2024-05-11,23-51-48
person,2024-05-11,23-51-48
person,2024-05-11,23-51-49
person,2024-05-11,23-51-49
person,2024-05-11,23-51-49
person,2024-05-11,23-51-49
cup,2024-05-11,23-51-53
cup,2024-05-11,23-51-53
cup,2024-05-11,23-52-24
cup,2024-05-11,23-52-24
cup,2024-05-11,23-52-24
toilet,2024-05-11,23-52-25
cup,2024-05-11,23-52-25
cup,2024-05-11,23-52-25
cup,2024-05-11,23-52-25
cup,2024-05-11,23-52-26
cup,2024-05-11,23-52-26
cup,2024-05-11,23-52-26
cup,2024-05-11,23-52-26
cup,2024-05-11,23-52-26
cup,2024-05-11,23-52-26
cup,2024-05-11,23-52-27
cup,2024-05-11,23-52-27
cup,2024-05-11,23-52-27
cup,2024-05-11,23-52-27
cup,2024-05-11,23-52-27
cup,2024-05-11,23-52-27
cup,2024-05-11,23-52-27
cup,2024-05-11,23-52-28
cup,2024-05-11,23-52-28
cup,2024-05-11,23-52-28
cup,2024-05-11,23-52-28
toilet,2024-05-11,23-52-28
cup,2024-05-11,23-52-31
cup,2024-05-11,23-52-31
cup,2024-05-11,23-52-31
cup,2024-05-11,23-52-32
cup,2024-05-11,23-52-32
cup,2024-05-11,23-52-33
cup,2024-05-11,23-52-33
cup,2024-05-11,23-52-33
cup,2024-05-11,23-52-33
cup,2024-05-11,23-52-33
cup,2024-05-11,23-52-34
cup,2024-05-11,23-52-34
cup,2024-05-11,23-52-34
cup,2024-05-11,23-52-34
cup,2024-05-11,23-52-34
cup,2024-05-11,23-52-35
cup,2024-05-11,23-52-35
cup,2024-05-11,23-52-35
cup,2024-05-11,23-52-35
person,2024-05-11,23-52-38
person,2024-05-11,23-52-38
person,2024-05-11,23-52-38
person,2024-05-11,23-52-38
person,2024-05-11,23-52-39
person,2024-05-11,23-52-39
person,2024-05-11,23-52-40
person,2024-05-11,23-52-40
person,2024-05-11,23-52-41
person,2024-05-11,23-52-41
person,2024-05-11,23-52-41
cup,2024-05-11,23-52-42
cup,2024-05-11,23-52-42
cup,2024-05-11,23-52-42
cup,2024-05-11,23-52-42
cup,2024-05-11,23-52-43
cup,2024-05-11,23-52-43
cup,2024-05-11,23-52-43
cup,2024-05-11,23-52-43
cup,2024-05-11,23-52-43
cup,2024-05-11,23-52-43
cup,2024-05-11,23-52-44
cup,2024-05-11,23-52-44
cup,2024-05-11,23-52-44
cup,2024-05-11,23-52-44
person,2024-05-11,23-52-44
person,2024-05-11,23-52-44
person,2024-05-11,23-52-45
person,2024-05-11,23-52-45
person,2024-05-11,23-52-45
cup,2024-05-11,23-52-45
person,2024-05-11,23-52-45
person,2024-05-11,23-52-45
person,2024-05-11,23-52-46
person,2024-05-11,23-52-46
cup,2024-05-11,23-52-46
cup,2024-05-11,23-52-46
person,2024-05-11,23-52-46
cup,2024-05-11,23-52-46
person,2024-05-11,23-52-46
cup,2024-05-11,23-52-46
cup,2024-05-11,23-52-46
person,2024-05-11,23-52-46
cup,2024-05-11,23-52-46
cup,2024-05-11,23-52-46
person,2024-05-11,23-52-47
cup,2024-05-11,23-52-47
cup,2024-05-11,23-52-47
person,2024-05-11,23-52-47
